distance to [km],OM1,OM2,OM3,OM4,OM5,OM6,X,Y,Z
OM1,,,,,,,0,0,1427
OM2,,,,,,,0,0,-1427
OM3,,,,,,,1427,0,0
OM4,,,,,,,-1427,0,0
OM5,,,,,,,0,-1427,0
OM6,,,,,,,0,1427,0
Calhoun Pass Emergency Shelter,1716,1768,2007,1430,600.9,,-347.649527,936.842616,31.52303784
Clear View Emergency Shelter,1383,2039,2236,1035,2185,,-688.3017694,608.7491987,393.215925
Comm Array ST4-22,,,,923.8,2382,,,,
MT DataCenter 2UB-RB9-5,2042,1379,1624,1853,669.2,,139.5310091,-906.6062859,-397.321829
MT DataCenter 4HJ-LVE-A,1940,1519,639.7,2405,1823,,930.916059,303.5683833,-265.83375
MT DataCenter 5WQ-R2V-C,1958,1496,1709,1775,545.8,,40.32603364,-959.0014667,-279.5218991
MT DataCenter 8FK-Q2X-K,,426.9,1740,1745,1724,,3.052733006,-11.23624737,-999.8793434
MT DataCenter D79-ECG-R,2385,619.1,1467,1979,1569,,309.3626323,199.250329,-929.1258383
MT DataCenter E2Q-NSG-Y,2011,1423,1582,1890,648.7,,186.8411002,-916.0969422,-354.2535039
MT DataCenter QVX-J88-J,2030,1397,701,2363,1935,,891.9126664,245.9100798,-380.2770673
MT DataCenter TMG-XEV-2,473.6,,1691,1793,1870,,62.25788367,160.5052247,985.4936247
New Babbage,956.1,2271,1356,2057,1245,,419.2895244,-520.008712,743.5363341
Nuiqsut Emergency Shelter,2196,1116,1905,1563,945.6,,-208.1494394,-749.7724631,-627.0183952
Outpost 54,2424,447.6,1731,1754,1647,,14.32680098,-112.5108768,-994.0097863
Point Wain Emergency Shelter,1137,2187,2103,1286,2197,,-485.1342852,-626.5320901,611.3991766
Port Tressler,997.7,,1321,,1304,,,,
Rayari Deltana Research Outpost,1461,1985,2211,1090,2240,,-648.4510336,693.5795662,316.1819376
Shubin Mining Facility SM0-10,1477,1972,2398,568.6,1671,,-951.0855851,-75.62913176,298.8010722
Shubin Mining Facility SM0-13,,1821,2416,488,1879,,-980.8885774,172.4154367,96.95894853
Shubin Mining Facility SM0-18,1706,1778,2036,1387,640.7,,-388.9627715,-919.5776593,44.17930974
Shubin Mining Facility SM0-22,1189,2158,2320,829.9,1722,,-822.3354056,-8.857179596,568.1532052
The Necropolis,,2418,1871,1604,1690,,-162.548178,-65.47130034,984.7265193
