star#,x,y,img#
1,895.0697917,446.8739583,1
2,827.9718579,448.128125,1
3,908.9552225,368.040625,1
4,933.3218969,437.0197917,1
5,906.9844017,522.8406395,1
6,1158.095703,478.9871094,1
7,1461.962891,439.9472656,1
8,1620.981641,354.8667969,1
9,229.521875,559.334375,1
10,639.3300781,327.2269531,1
11,756.68125,330.46875,1
12,831.5304279,307.3337305,1
13,1143.328906,255.2914063,1
5,1381.463542,323.490625,2
6,1662.21875,478.61875,2
14,931.4785156,496.6074219,2
15,486.0271484,372.6458984,2
16,405.3458984,695.7775391,2
17,414.3511719,193.0800781,2
18,131.0527344,541.9449219,2
16,1518.495313,736.6109375,3
17,1495.089453,238.5066406,3
19,1218.943555,345.2099609,3
20,1047.546875,357.8864583,3
21,1128.041797,464.3363281,3
22,1094.125977,606.7853516,3
23,1040.999023,608.0392578,3
24,982.925,618.275,3
25,968.984375,480.828125,3
26,964.8005707,394.9046112,
